forecastDate,MonthStart
2022-06-06,2022-06-01
2022-06-06,2022-07-01
2022-06-06,2022-08-01
2022-06-06,2022-09-01
2022-06-06,2022-10-01
2022-06-06,2022-11-01
2022-07-04,2022-07-01
2022-07-04,2022-08-01
2022-07-04,2022-09-01
2022-07-04,2022-10-01
2022-07-04,2022-11-01
2022-07-04,2022-12-01
2022-08-01,2022-08-01
2022-08-01,2022-09-01
2022-08-01,2022-10-01
2022-08-01,2022-11-01
2022-08-01,2022-12-01
2022-08-01,2023-01-01
2022-09-05,2022-09-01
2022-09-05,2022-10-01
2022-09-05,2022-11-01
2022-09-05,2022-12-01
2022-09-05,2023-01-01
2022-09-05,2023-02-01
2022-10-03,2022-10-01
2022-10-03,2022-11-01
2022-10-03,2022-12-01
2022-10-03,2023-01-01
2022-10-03,2023-02-01
2022-10-03,2023-03-01
2022-11-07,2022-11-01
2022-11-07,2022-12-01
2022-11-07,2023-01-01
2022-11-07,2023-02-01
2022-11-07,2023-03-01
2022-11-07,2023-04-01
